name,path,interpreter,sha256,main_bundle_exec,main_bundle_path,main_bundle_name,main_bundle_identifier,main_bundle_version,main_bundle_short_version_str,bundle_path,bundle_name,bundle_identifier,bundle_version,bundle_short_version_str,homebrew_package_name,homebrew_package_path,homebrew_package_description,homebrew_package_github,homebrew_package_homepage,homebrew_package_latest_stable_version,homebrew_keg_version,cert_sha256,cert_common_name,cert_organization,cert_organizational_unit,cert_valid_from,cert_valid_until
extractLocStrings,/Applications/Xcode.app/Contents/Developer/usr/bin,,2b363ec7939d407a3a63793abfe8cf81705c3b0b80dacc32e80e1aa6fe8eb9e8,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
svnrdump,/Applications/Xcode.app/Contents/Developer/usr/bin,,ca0a730c3a631d82dee15529137693815f58ee9b99f1347385e8149054ec6114,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
ndisasm,/Applications/Xcode.app/Contents/Developer/usr/bin,,7f2ee26b66b5d19125aafd684a0277d6fadfbd91b6f9ce78b6372089f83084cb,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
projectInfo,/Applications/Xcode.app/Contents/Developer/usr/bin,,afe423e489cbe2602a634607403880a57766a32e664ae3fd0f68cd9e57639850,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
pngcrush,/Applications/Xcode.app/Contents/Developer/usr/bin,,238b36456e9fe09fd1175ad7690f5d40c6e235d5e7c876f7564be5b205a67ff8,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
headerdoc2html,/Applications/Xcode.app/Contents/Developer/usr/bin,/usr/bin/perl,7129ccd7ed87b9843234fb0b20bb439abb76feb0f1ca118b81a920201cda5d8d,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,,,,,,
filtercalltree,/Applications/Xcode.app/Contents/Developer/usr/bin,,bf3aa014ccb7061f0104beba718abfbd8596dda0015dd71e936d41291eaa866e,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
hdxml2manxml,/Applications/Xcode.app/Contents/Developer/usr/bin,,37e69179afc0f312c6c933a600beccba60c0b842684c44bbe5e00edd9ed1bc9a,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
iphoneos-optimize,/Applications/Xcode.app/Contents/Developer/usr/bin,/usr/bin/perl,5617743dea53ae9fbc97e98e13f73cc0b57136576bedcd82d0a1b071d7eca52f,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,,,,,,
nasm,/Applications/Xcode.app/Contents/Developer/usr/bin,,1b128d7705c1ad9bdf9aaec1d18d04b859ead6c48ff598c1203aea6fef9018bc,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
resolveLinks,/Applications/Xcode.app/Contents/Developer/usr/bin,,b46c528a627339cdbd30f1b9d8d6f6f315d6e432e88a244b2628657ab2136ca8,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
ipatool,/Applications/Xcode.app/Contents/Developer/usr/bin,/usr/bin/sandbox-exec -n no-network /usr/bin/ruby -E UTF-8 -v,99d9ec9b66f51eb19950317e20eae2acf55317e53ed21c377a7f68b19fff86c8,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,,,,,,
svnfsfs,/Applications/Xcode.app/Contents/Developer/usr/bin,,74b6303d3b49e00836ad9171280cce53c876da126e08970e2946040e008568ea,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
